hypothesis_id,effect_hypothesis,compound,promotional_source_count,candidate_receptor_or_family,receptor_evidence_tier,primary_source,pmid,doi,receptor_mechanism_status,effect_support_status,uncertainty_boundary,interpretation
H0078,bronchodialator,α-pinene,1,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0079,cardiovascular health,phytol,2,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0080,cardiovascular health,terpineol,2,CNR1/CB1; CNR2/CB2; DRD2,mechanism plus docking,https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved."
H0081,decongestant,ocimene,1,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0082,gastric protection,β-caryophyllene,1,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0083,hyper-pigmentation,α-bisabolol,1,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
H0084,immuno-stimulatory,α-pinene,3,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0085,immuno-stimulatory,phytol,3,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0086,immuno-stimulatory,terpineol,3,CNR1/CB1; CNR2/CB2; DRD2,mechanism plus docking,https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved."
H0087,interleukin-B secretion,humulene,1,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0088,longevity,β-caryophyllene,1,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0089,lowers blood-brain barrier,borneol,1,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0090,memory retention,α-pinene,2,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0091,memory retention,β-pinene,2,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0092,natural humectant,α-bisabolol,1,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
H0093,neuro-inflammation,β-caryophyllene,1,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0094,neurological health,borneol,2,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0095,neurological health,terpineol,2,CNR1/CB1; CNR2/CB2; DRD2,mechanism plus docking,https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved."
H0096,neuroprotective,β-caryophyllene,3,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0097,neuroprotective,borneol,3,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0098,neuroprotective,terpineol,3,CNR1/CB1; CNR2/CB2; DRD2,mechanism plus docking,https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved."
H0099,oral health,α-pinene,1,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0100,pharmacokinetic,humulene,1,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0101,prohibits neurotransmitter degeneration,phytol,1,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0102,relaxation,phytol,1,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0103,respiratory function,α-pinene,1,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0104,sedative,α-pinene,4,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0105,sedative,β-myrcene,4,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0106,sedative,linalool,4,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0107,sedative,terpinolene,4,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0108,skin health,α-pinene,2,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0109,skin health,α-bisabolol,2,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
